experiment_id,scenario,sampled_at_ms,elapsed_ms,elapsed_source,a_handler_active,approximate_not_visible,count_share_proxy,a_count_at_least_30,share_proxy_above_10_percent,criteria_proxy_met,proxy_status
reaction-20260710T141732.186490574Z,baseline-c100,1783693165222,78829,first_a_sqs_sent_timestamp,98,85,1.152941,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693165252,78957,first_a_sqs_sent_timestamp,75,91,0.824176,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693166225,79832,first_a_sqs_sent_timestamp,73,92,0.793478,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693166253,79958,first_a_sqs_sent_timestamp,90,78,1.153846,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693167225,80832,first_a_sqs_sent_timestamp,52,76,0.684211,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693167251,80956,first_a_sqs_sent_timestamp,91,94,0.968085,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693168215,81822,first_a_sqs_sent_timestamp,97,79,1.227848,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693168242,81947,first_a_sqs_sent_timestamp,77,85,0.905882,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693169220,82827,first_a_sqs_sent_timestamp,96,88,1.090909,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693169249,82954,first_a_sqs_sent_timestamp,90,75,1.200000,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693170217,83824,first_a_sqs_sent_timestamp,81,77,1.051948,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693170245,83950,first_a_sqs_sent_timestamp,65,97,0.670103,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693171229,84836,first_a_sqs_sent_timestamp,88,82,1.073171,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693171258,84963,first_a_sqs_sent_timestamp,90,76,1.184211,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693172215,85822,first_a_sqs_sent_timestamp,81,54,1.500000,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693172243,85948,first_a_sqs_sent_timestamp,96,82,1.170732,true,true,true,ok
